[exp254] psnr : 39.486405582781344, min: 38.29970955678795, max: 41.087625602643385 
[exp255] psnr : 39.47835420818136, min: 38.25822898258974, max: 41.53385502307213 
[exp256] psnr : 39.425830799977106, min: 38.03314883465551, max: 40.893856216678955 
[exp256] psnr : 39.60583280203224, min: 37.93660865071161, max: 40.91931530436629 
[exp256] psnr : 39.192049993182934, min: 37.97770155827679, max: 40.5178403386292 
[exp256] psnr : 39.57441499347654, min: 38.05923341060869, max: 41.39145386894196 
[exp256] psnr : 39.59163766422154, min: 38.15712759499268, max: 41.46413336037925 
[exp256] psnr : 39.59163285588108, min: 38.15712759499268, max: 41.46414406815222 
[exp257] psnr : 39.41489033748056, min: 38.01419893641085, max: 41.62740228740042 
[exp257] psnr : 39.43930886127034, min: 38.17162715147863, max: 40.88139777070266 
[exp257] psnr : 39.43931604081536, min: 38.17159872164989, max: 40.881394649631645 
[exp184] psnr : 39.54818171548712, min: 38.02739618485888, max: 41.28699041450836 
[exp257] psnr : 39.46921966485162, min: 38.18187511969085, max: 41.49670206727279 
[exp257] psnr : 39.46922558909405, min: 38.18187511969085, max: 41.496732035046975 
[exp256] psnr : 39.59164442884136, min: 38.15712092790071, max: 41.46414406815222 
[exp257] psnr : 39.469213206437715, min: 38.18187791352377, max: 41.49670206727279 
[exp258] psnr : 39.51501854789097, min: 38.27464754423802, max: 40.84161933277584 
[exp258] psnr : 39.494393061566356, min: 38.145102370234795, max: 41.15668349137745 
[exp258] psnr : 29.61176769551875, min: 26.185231503200043, max: 32.805476657864084 
[exp258] psnr : 29.88841420493131, min: 25.773330448873644, max: 32.98970616870471 
[exp256] psnr : 29.942987201889693, min: 25.86262567877654, max: 33.069989963875564 
[exp256] psnr : 29.303473274370166, min: 25.374353582916676, max: 31.784533118635924 
[exp256] psnr : 29.942987311458616, min: 25.86262567877654, max: 33.06998923249453 
[exp256] psnr : 29.942987228008608, min: 25.86262567877654, max: 33.06998923249453 
[exp256] psnr : 28.949630134246675, min: 25.55242473046521, max: 32.29959910775398 
